kode_kabupaten_kota,nama_kabupaten_kota,tahun,JUMLAH_PENYAKIT_TIDAK_MENULAR
3502,KABUPATEN PONOROGO,2022,83167
3503,KABUPATEN TRENGGALEK,2022,214529
3504,KABUPATEN TULUNGAGUNG,2022,136041
3505,KABUPATEN BLITAR,2022,352263
3506,KABUPATEN KEDIRI,2022,178368
3507,KABUPATEN MALANG,2022,250173
3508,KABUPATEN LUMAJANG,2022,144578
3509,KABUPATEN JEMBER,2022,306496
3510,KABUPATEN BANYUWANGI,2022,352612
3511,KABUPATEN BONDOWOSO,2022,40242
3512,KABUPATEN SITUBONDO,2022,135378
3513,KABUPATEN PROBOLINGGO,2022,63192
3514,KABUPATEN PASURUAN,2022,363060
3515,KABUPATEN SIDOARJO,2022,504944
3516,KABUPATEN MOJOKERTO,2022,201314
3517,KABUPATEN JOMBANG,2022,257619
3518,KABUPATEN NGANJUK,2022,103271
3519,KABUPATEN MADIUN,2022,59266
3520,KABUPATEN MAGETAN,2022,188106
3521,KABUPATEN NGAWI,2022,215113
3522,KABUPATEN BOJONEGORO,2022,278630
3523,KABUPATEN TUBAN,2022,224226
3524,KABUPATEN LAMONGAN,2022,336384
3525,KABUPATEN GRESIK,2022,86211
3526,KABUPATEN BANGKALAN,2022,135615
3527,KABUPATEN SAMPANG,2022,80417
3528,KABUPATEN PAMEKASAN,2022,162086
3529,KABUPATEN SUMENEP,2022,252726
3571,KOTA KEDIRI,2022,38213
3572,KOTA BLITAR,2022,37174
3573,KOTA MALANG,2022,128549
3574,KOTA PROBOLINGGO,2022,30929
3575,KOTA PASURUAN,2022,52408
3576,KOTA MOJOKERTO,2022,33250
3577,KOTA MADIUN,2022,38735
3578,KOTA SURABAYA,2022,686072
3579,KOTA BATU,2022,30868
3501,KABUPATEN PACITAN,2023,99836
3502,KABUPATEN PONOROGO,2023,149775
3503,KABUPATEN TRENGGALEK,2023,224076
3504,KABUPATEN TULUNGAGUNG,2023,258200
3505,KABUPATEN BLITAR,2023,390004
3506,KABUPATEN KEDIRI,2023,439943
3507,KABUPATEN MALANG,2023,830242
3508,KABUPATEN LUMAJANG,2023,230032
3509,KABUPATEN JEMBER,2023,198428
3510,KABUPATEN BANYUWANGI,2023,455903
3511,KABUPATEN BONDOWOSO,2023,180030
3512,KABUPATEN SITUBONDO,2023,164379
3513,KABUPATEN PROBOLINGGO,2023,130325
3514,KABUPATEN PASURUAN,2023,505627
3515,KABUPATEN SIDOARJO,2023,662541
3516,KABUPATEN MOJOKERTO,2023,356418
3517,KABUPATEN JOMBANG,2023,330604
3518,KABUPATEN NGANJUK,2023,185045
3519,KABUPATEN MADIUN,2023,130410
3520,KABUPATEN MAGETAN,2023,218321
3521,KABUPATEN NGAWI,2023,262065
3522,KABUPATEN BOJONEGORO,2023,332551
3523,KABUPATEN TUBAN,2023,283784
3524,KABUPATEN LAMONGAN,2023,360644
3525,KABUPATEN GRESIK,2023,268912
3526,KABUPATEN BANGKALAN,2023,301530
3527,KABUPATEN SAMPANG,2023,292124
3528,KABUPATEN PAMEKASAN,2023,236875
3529,KABUPATEN SUMENEP,2023,264042
3571,KOTA KEDIRI,2023,93610
3572,KOTA BLITAR,2023,52488
3573,KOTA MALANG,2023,223649
3574,KOTA PROBOLINGGO,2023,39805
3575,KOTA PASURUAN,2023,58612
3576,KOTA MOJOKERTO,2023,42763
3577,KOTA MADIUN,2023,50711
3578,KOTA SURABAYA,2023,875411
3579,KOTA BATU,2023,47114
3501,KABUPATEN PACITAN,2024,124298
3502,KABUPATEN PONOROGO,2024,172338
3503,KABUPATEN TRENGGALEK,2024,64480
3504,KABUPATEN TULUNGAGUNG,2024,296597
3505,KABUPATEN BLITAR,2024,391130
3506,KABUPATEN KEDIRI,2024,120174
3507,KABUPATEN MALANG,2024,247869
3508,KABUPATEN LUMAJANG,2024,274601
3509,KABUPATEN JEMBER,2024,184554
3510,KABUPATEN BANYUWANGI,2024,132739
3511,KABUPATEN BONDOWOSO,2024,83309
3512,KABUPATEN SITUBONDO,2024,164007
3513,KABUPATEN PROBOLINGGO,2024,104769
3514,KABUPATEN PASURUAN,2024,108643
3515,KABUPATEN SIDOARJO,2024,130584
3516,KABUPATEN MOJOKERTO,2024,117137
3517,KABUPATEN JOMBANG,2024,359973
3518,KABUPATEN NGANJUK,2024,237392
3519,KABUPATEN MADIUN,2024,61050
3520,KABUPATEN MAGETAN,2024,235752
3521,KABUPATEN NGAWI,2024,299126
3522,KABUPATEN BOJONEGORO,2024,128968
3523,KABUPATEN TUBAN,2024,75828
3524,KABUPATEN LAMONGAN,2024,361720
3525,KABUPATEN GRESIK,2024,145935
3526,KABUPATEN BANGKALAN,2024,71362
3527,KABUPATEN SAMPANG,2024,249446
3528,KABUPATEN PAMEKASAN,2024,240414
3529,KABUPATEN SUMENEP,2024,270023
3571,KOTA KEDIRI,2024,27041
3572,KOTA BLITAR,2024,53759
3573,KOTA MALANG,2024,94250
3574,KOTA PROBOLINGGO,2024,48330
3575,KOTA PASURUAN,2024,18844
3576,KOTA MOJOKERTO,2024,16010
3577,KOTA MADIUN,2024,23764
3578,KOTA SURABAYA,2024,851331
3579,KOTA BATU,2024,58862
